backend,size_bytes,level,iter,wall_ms,sandbox_ms,native_ms
wasm2c,4194304,1,0,24.771735013928264,11.71,10.846
wasm2c,4194304,1,1,24.365949968341738,11.744,10.758
wasm2c,4194304,1,2,25.867960008326918,12.337,11.195
wasm2c,4194304,1,3,30.738920031581074,14.624,13.537
wasm2c,4194304,1,4,24.815522017888725,11.735,10.869
process,4194304,1,0,86.29986399319023,65.385,16.05
process,4194304,1,1,79.38331901095808,60.173,14.807
process,4194304,1,2,73.31084198085591,55.05,13.942
process,4194304,1,3,74.1485920152627,55.661,13.747
process,4194304,1,4,87.40709099220112,66.241,16.358
meta_process,4194304,1,0,76.5435440116562,58.584,13.248
meta_process,4194304,1,1,72.10435497108847,56.054,11.827
meta_process,4194304,1,2,79.73957702051848,60.916,14.113
meta_process,4194304,1,3,90.98502399865538,69.523,16.488
meta_process,4194304,1,4,77.14312203461304,59.35,13.655
meta_wasm,4194304,1,0,38.137990050017834,21.657,12.318
meta_wasm,4194304,1,1,34.77345098508522,19.85,10.985
meta_wasm,4194304,1,2,34.33459100779146,19.597,10.715
meta_wasm,4194304,1,3,35.69127700757235,20.539,11.272
meta_wasm,4194304,1,4,37.860913027543575,21.337,12.148
meta_adaptive,4194304,1,0,37.48587501468137,21.209,12.002
meta_adaptive,4194304,1,1,40.974780975375324,23.015,13.401
meta_adaptive,4194304,1,2,35.47569498186931,19.943,11.022
meta_adaptive,4194304,1,3,34.68496899586171,19.998,10.998
meta_adaptive,4194304,1,4,36.35563398711383,20.619,11.32
native,4194304,6,0,14.741126971784979,,13.486
native,4194304,6,1,14.695687976200134,,13.521
native,4194304,6,2,17.088034946937114,,15.623
native,4194304,6,3,17.841348017100245,,16.126
native,4194304,6,4,15.677299990784377,,14.268
wasm2c,4194304,6,0,30.872831994201988,15.526,13.593
wasm2c,4194304,6,1,31.102481996640563,15.528,13.767
wasm2c,4194304,6,2,30.77289299108088,15.493,13.57
wasm2c,4194304,6,3,31.16052597761154,15.72,13.599
wasm2c,4194304,6,4,31.170405040029436,15.497,13.928
process,4194304,6,0,70.30377199407667,49.719,16.101
process,4194304,6,1,72.53654999658465,51.792,16.307
process,4194304,6,2,76.94643299328163,55.722,17.397
process,4194304,6,3,67.46939400909469,47.964,15.019
process,4194304,6,4,74.29785002022982,53.125,16.712
meta_process,4194304,6,0,77.8961549513042,55.844,17.388
meta_process,4194304,6,1,85.84196597803384,61.593,19.332
meta_process,4194304,6,2,76.11764001194388,54.501,16.924
meta_process,4194304,6,3,66.84734002919868,47.574,14.864
meta_process,4194304,6,4,76.60403795307502,55.077,17.286
meta_wasm,4194304,6,0,37.34038001857698,17.992,14.998
meta_wasm,4194304,6,1,36.907478992361575,16.987,15.464
meta_wasm,4194304,6,2,35.64772201934829,16.978,14.165
meta_wasm,4194304,6,3,34.269145980942994,16.218,13.595
meta_wasm,4194304,6,4,41.18582495721057,19.714,17.092
meta_adaptive,4194304,6,0,36.70054901158437,17.55,14.614
meta_adaptive,4194304,6,1,34.42912403261289,16.448,13.618
meta_adaptive,4194304,6,2,35.56365001713857,17.01,14.317
meta_adaptive,4194304,6,3,39.8429770139046,19.015,16.388
meta_adaptive,4194304,6,4,39.116896979976445,18.871,16.215
native,4194304,9,0,16.2106339703314,,15.012
native,4194304,9,1,16.58657001098618,,15.367
native,4194304,9,2,20.892644999548793,,19.447
native,4194304,9,3,17.33822503592819,,16.084
native,4194304,9,4,19.489298050757498,,18.264
wasm2c,4194304,9,0,44.57088699564338,22.313,19.537
wasm2c,4194304,9,1,34.325250948313624,17.049,15.041
wasm2c,4194304,9,2,32.07647200906649,15.944,14.012
wasm2c,4194304,9,3,31.991638999897987,15.813,13.895
wasm2c,4194304,9,4,31.66183701250702,15.753,13.78
process,4194304,9,0,72.75099499383941,51.436,16.793
process,4194304,9,1,68.7515300232917,48.242,15.97
process,4194304,9,2,84.00917198741809,59.841,19.29
process,4194304,9,3,90.88047198019922,64.949,21.016
process,4194304,9,4,80.84784296806902,59.051,17.279
meta_process,4194304,9,0,78.82834901101887,57.582,16.696
meta_process,4194304,9,1,80.93348803231493,59.259,17.583
meta_process,4194304,9,2,84.73057800438255,61.977,18.969
meta_process,4194304,9,3,79.71371902385727,58.474,16.9
meta_process,4194304,9,4,87.0145300286822,63.619,18.915
meta_wasm,4194304,9,0,37.341477000154555,17.939,14.995
meta_wasm,4194304,9,1,35.37071403115988,16.77,14.447
meta_wasm,4194304,9,2,34.1590530006215,16.493,13.895
meta_wasm,4194304,9,3,36.857289960607886,16.816,15.726
